experiment_id,timestamp,batch_size,shuffle_buffer,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,train_accuracy,val_accuracy,training_time_min,acc_normal,precision_normal,recall_normal,f1_normal,acc_benign,precision_benign,recall_benign,f1_benign,acc_malignant,precision_malignant,recall_malignant,f1_malignant
70,2026-01-28T20:24:55.339152,32,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.6978350281715393,0.6786043643951416,0.8074617385864258,0.8186669945716858,35.205345539251965,0.7877832808044425,0.9814884068810771,0.7877832808044425,0.8740321372075598,0.5750421585160203,0.22287581699346407,0.5750421585160203,0.32124352331606215,0.42488262910798125,0.22512437810945274,0.42488262910798125,0.2943089430894309
71,2026-01-28T22:07:56.630980,32,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.6868767142295837,0.7254320979118347,0.8095195293426514,0.7443374395370483,40.42167241970698,0.9380159087498124,0.9314456035767511,0.9380159087498124,0.9347192103492111,0.418212478920742,0.3315508021390374,0.418212478920742,0.3698732289336316,0.15492957746478872,0.29464285714285715,0.15492957746478872,0.20307692307692307
72,2026-01-28T22:54:43.135154,32,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.6562748551368713,4.526935577392578,0.8317437767982483,0.4264514446258545,45.189746057987215,0.9540747411076091,0.913887291546866,0.9540747411076091,0.9335487187018137,0.3676222596964587,0.30532212885154064,0.3676222596964587,0.3335883703136955,0.002347417840375587,0.08333333333333333,0.002347417840375587,0.0045662100456621
73,2026-01-29T09:39:47.503861,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.9476198554039001,0.8689789175987244,0.5210177898406982,0.6489195227622986,0.7682632048924763,0.7167942368302567,0.9476190476190476,0.7167942368302567,0.8162009741092028,0.19898819561551434,0.1111111111111111,0.19898819561551434,0.14259818731117824,0.6150234741784038,0.16582278481012658,0.6150234741784038,0.2612163509471585
74,2026-01-29T09:42:10.039594,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.9475328922271729,0.8706554174423218,0.5233587622642517,0.6556886434555054,0.7907255212465922,0.7184451448296563,0.9484842480681593,0.7184451448296563,0.8175918018787361,0.209106239460371,0.11242067089755213,0.209106239460371,0.14622641509433962,0.6103286384976526,0.16971279373368145,0.6103286384976526,0.26557711950970375
75,2026-01-29T09:44:18.036090,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.9472906589508057,0.8773149251937866,0.5250890851020813,0.6563394665718079,0.7799934466679891,0.730151583370854,0.9464980544747081,0.730151583370854,0.8243666864356519,0.07251264755480608,0.08811475409836066,0.07251264755480608,0.07955596669750231,0.7276995305164319,0.15092502434274585,0.7276995305164319,0.25
76,2026-01-29T09:51:29.928221,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.9456759095191956,0.8809292912483215,0.5255979895591736,0.6525644659996033,0.6719680746396383,0.7516133873630497,0.9450839781090772,0.7516133873630497,0.8373181742183581,0.35075885328836426,0.14384508990318118,0.35075885328836426,0.20402157920549288,0.45539906103286387,0.20704375667022412,0.45539906103286387,0.2846661775495231
77,2026-01-29T09:53:43.212316,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.9474014043807983,0.9074856638908386,0.5196946859359741,0.6338193416595459,0.4476948618888855,0.7019360648356596,0.9502234863876473,0.7019360648356596,0.8074233923176521,0.13827993254637436,0.09392898052691867,0.13827993254637436,0.11186903137789904,0.7065727699530516,0.1595124536301007,0.7065727699530516,0.26026805015131865
78,2026-01-29T09:55:05.595615,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.9454678297042847,0.9200901985168457,0.5214249491691589,0.6102577447891235,0.47220745086669924,0.7020861473810596,0.9502335973999594,0.7020861473810596,0.807526324874849,0.1045531197301855,0.09612403100775194,0.1045531197301855,0.10016155088852989,0.7347417840375586,0.1480605487228004,0.7347417840375586,0.24645669291338582
79,2026-01-29T10:00:09.134397,32,1000,10,9.999999747378752e-05,0.0,0.0,0.0,0.937757134437561,0.9707545042037964,0.5220355987548828,0.5773236155509949,0.5669908483823141,0.6473060183100705,0.9518870006621055,0.6473060183100705,0.770591388243702,0.08768971332209106,0.06088992974238876,0.08768971332209106,0.0718728403593642,0.7535211267605634,0.13974749673487158,0.7535211267605634,0.23576937201615863
